,best_match_score,__id_left,__id_right,ID,STCD,DTBEG,DTEND,YEAR,CNTYNAME,MNAME,MLOCADDR,MLOCCITY,GRACE,MLOCSTCD,MCNTYCD,FCOUNTY,FSTCD,FCNTYCD,MLOCZIP,STATE,fac_id,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude
2238,-0.864540554602806,6040020,Tfda7dyaQhh3WDA2UgzgYw,6040020,4,,,2018,"Arecibo, PR",hospital pavia arecibo,129 san luis avenue,arecibo,,4,13,72013,72,13,00612,pr,Tfda7dyaQhh3WDA2UgzgYw,a radiant life,False,4,4.0,2020-05-26T09:33:12,18182531581.0,http://aradiantlife.org,https://www.yelp.com/biz/a-radiant-life-woodland-hills-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,23100 avenue san luis,woodland hills,ca,US,91364.0,,
2442,-0.8835231805634255,6040030,msuPnIrBozHIanGBMQ1e6A,6040030,4,,,2018,"Arecibo, PR",hospital metropolitano dr. susoni,calle palma #55,arecibo,,4,13,72013,72,13,00612,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
2678,-0.24841746403475948,6040050,5L4r_8F_VJUXHWlFC3_fNg,6040050,4,,,2018,"San Juan, PR",university hospital,nineyas 869 rio piedras,san juan,,4,127,72127,72,127,00922,pr,5L4r_8F_VJUXHWlFC3_fNg,sadhana healing arts,False,3,3.5,2019-06-09T08:50:34,17877581739.0,http://www.sadhanahealing.com,https://www.yelp.com/biz/sadhana-healing-arts-san-juan?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,177 avenida de diego río piedras,san juan,pr,US,927.0,,
2884,-0.3539829584545188,6040054,msuPnIrBozHIanGBMQ1e6A,6040054,4,,,2018,"Bayamon, PR",hospital hermanos melendez,"route 2, km 11-7",bayamon,,4,21,72021,72,21,00960,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
3094,-0.2757351693359184,6040055,msuPnIrBozHIanGBMQ1e6A,6040055,4,,,2018,"Bayamon, PR",hospital san pablo,calle santa cruz 70,bayamon,,4,21,72021,72,21,00961-7020,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
3326,-0.8532954892438627,6040070,msuPnIrBozHIanGBMQ1e6A,6040070,4,,,2018,"Lares, PR",castaner general hospital,"km 64-2, route 135",castaner,,4,81,72081,72,81,00631,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
3549,-1.0233352413975945,6040080,msuPnIrBozHIanGBMQ1e6A,6040080,4,,,2018,"Cayey, PR",hospital menonita de cayey,4 h mendoza street,cayey,,4,35,72035,72,35,00736-3801,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
3812,-0.6041459422337044,6040090,msuPnIrBozHIanGBMQ1e6A,6040090,4,,,2018,"San Juan, PR",hospital metropolitan,1785 carr 21,san juan,,4,127,72127,72,127,00921-3399,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
4054,-1.262632355741384,6040110,msuPnIrBozHIanGBMQ1e6A,6040110,4,,,2018,"Fajardo, PR",hospital san pablo del este,"avenida general valero, 404",fajardo,,4,53,72053,72,53,00738,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
4278,0.34489933039621246,6040115,msuPnIrBozHIanGBMQ1e6A,6040115,4,,,2018,"Bayamon, PR",doctor's center of bayamon,extension hermanas davila,bayamon,,4,21,72021,72,21,00960,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
4419,-0.5051643517420403,6040129,20S1Si7XyYzyOu6Klyul2w,6040129,4,,,2018,"Manati, PR",encompass health rehabilitation hospital of manati,"carretera 2, kilometro 47 7",manati,,4,91,72091,72,91,00674,pr,20S1Si7XyYzyOu6Klyul2w,encompass health rehabilitation hospital of new england,False,16,3.0,2020-06-24T10:38:56,17819355050.0,https://encompasshealth.com,https://www.yelp.com/biz/encompass-health-rehabilitation-hospital-of-new-england-woburn?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,2 rehabilitation way,woburn,ma,US,1801.0,,
4634,-1.370029370574994,6040145,msuPnIrBozHIanGBMQ1e6A,6040145,4,,,2018,"Guayama, PR",hospital episcopal san lucas guayama,avenue pedro albizu campos,guayama,,4,57,72057,72,57,00784,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
4865,-0.6052766035686573,6040155,KYEl_fEmsKgFrxXgiridBg,6040155,4,10/01/2017,09/30/2018,2018,"San Juan, PR",auxilio mutuo hospital,ponce de leon avenue,san juan,,4,127,72127,72,127,00918-1000,pr,KYEl_fEmsKgFrxXgiridBg,atlanta hospital hospitality house,False,5,4.5,2019-07-01T13:11:39,14043776333.0,http://atlhhh.org,https://www.yelp.com/biz/atlanta-hospital-hospitality-house-atlanta?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1815 s ponce de leon ave ne,atlanta,ga,US,30307.0,,
5139,-0.8963445106846862,6040157,msuPnIrBozHIanGBMQ1e6A,6040157,4,,,2018,"San Juan, PR",hospital del maestro,550 sergio cuevas,san juan,,4,127,72127,72,127,00918-3741,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
5385,-0.8138868372277633,6040160,msuPnIrBozHIanGBMQ1e6A,6040160,4,,,2018,"Humacao, PR",hospital oriente,300 font martelo street,humacao,,4,69,72069,72,69,00791-3230,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
5623,-1.0898415928819156,6040165,msuPnIrBozHIanGBMQ1e6A,6040165,4,,,2018,"Humacao, PR",hospital hima de humacao,3 font martelo street,humacao,,4,69,72069,72,69,00791-3342,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
5859,-0.7444235662401044,6040170,GeR3WpAF9qt-rVDh-dpC3g,6040170,4,,,2018,"Humacao, PR",ryder memorial hospital,355 font martelo street,humacao,,4,69,72069,72,69,00791-3249,pr,GeR3WpAF9qt-rVDh-dpC3g,abington memorial hospital,False,1,1.0,2018-03-13T04:17:13,12153575780.0,http://www.amh.org,https://www.yelp.com/biz/abington-memorial-hospital-southampton?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,501 street rd,southampton,pa,US,18966.0,,
6103,-1.1096619359148925,6040175,msuPnIrBozHIanGBMQ1e6A,6040175,4,,,2018,"Yauco, PR",hospital pavia yauco,carretera 128 km 1.0,yauco,,4,153,72153,72,153,00698,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
6364,-0.47142386954639265,6040192,Mt0C7ygnJtZemwY7W8f8aw,6040192,4,,,2018,"Aibonito, PR",mennonite general hospital,calle jose c vasquez,aibonito,,4,9,72009,72,9,00705,pr,Mt0C7ygnJtZemwY7W8f8aw,hospital comunitario buen samaritano,False,2,1.0,2020-06-19T16:06:17,17876580000.0,http://hbspr.org/,https://www.yelp.com/biz/hospital-comunitario-buen-samaritano-aguadilla?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,calle jose de diego,aguadilla,pr,US,605.0,,
6617,-0.7815313076500837,6040215,msuPnIrBozHIanGBMQ1e6A,6040215,4,,,2018,"Mayaguez, PR",hospital perea,15 basora street,mayaguez,,4,97,72097,72,97,00681,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
6825,-0.7682985321157315,6040220,msuPnIrBozHIanGBMQ1e6A,6040220,4,,,2018,"Mayaguez, PR",bella vista hospital,state road 349,mayaguez,,4,97,72097,72,97,00680,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
7033,-1.068064979622819,6040230,AwIgR4w4iPBv4HEHIlbYLg,6040230,4,,,2018,"Ponce, PR",dr. pila's hospital,avenida las americas,ponce,,4,113,72113,72,113,00731,pr,AwIgR4w4iPBv4HEHIlbYLg,smile direct club,False,3,5.0,2020-06-24T19:24:21,17873379947.0,https://smiledirectclub.com,https://www.yelp.com/biz/smile-direct-club-san-juan?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,25 avenida luis munoz rivera,san juan,pr,US,901.0,,
7249,-0.9317033935309011,6040250,msuPnIrBozHIanGBMQ1e6A,6040250,4,,,2018,"Ponce, PR",hospital de damas,2213 ponce bypass,ponce,,4,113,72113,72,113,00717,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
7478,-1.0066845674492721,6040260,Nj2Eiad17GHGAt0-uZA2cA,6040260,4,,,2018,"Ponce, PR",st. luke's episcopal hospital,917 tito castro avenue,ponce,,4,113,72113,72,113,00731-4717,pr,Nj2Eiad17GHGAt0-uZA2cA,st luke's university hospital,False,20,3.0,2019-12-15T00:31:36,14845267900.0,http://www.slhn.org,https://www.yelp.com/biz/st-lukes-university-hospital-bethlehem?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,801 ostrum st,bethlehem,pa,US,18015.0,,
7752,0.5223820478300889,6040290,vxVagg49ug3rolJS53KSEw,6040290,4,,,2018,"Mayaguez, PR",dr. ramon e. betances hospital-mayaguez medical center branch,410 hostos avenue,mayaguez,,4,97,72097,72,97,00680-1501,pr,vxVagg49ug3rolJS53KSEw,mayaguez medical center dr ramon emeterio betances,False,1,1.0,2020-06-23T18:09:24,17876529200.0,,https://www.yelp.com/biz/mayaguez-medical-center-dr-ramon-emeterio-betances-mayaguez?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,carr 2 bo sabalos,mayaguez,pr,US,87344.0,,
7926,-1.6291746294480902,6040294,qsIJhtfGUr-ps9zXdM5Vpw,6040294,4,,,2018,"Bayamon, PR",hospital universitario dr. ramon ruiz arnau,"avenue laurel #100, santa juanita",bayamon,,4,21,72021,72,21,00956,pr,qsIJhtfGUr-ps9zXdM5Vpw,"dong l. chang, md",False,39,2.5,2020-02-12T13:21:18,16268215998.0,,https://www.yelp.com/biz/dong-l-chang-md-arcadia?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,100 n santa anita ave,arcadia,ca,US,91006.0,,
8182,-1.2880271962690897,6040300,8Ja6xUzwixSZgzjJdTanww,6040300,4,,,2018,"San Juan, PR",hospital de psiquiatria,"dr. ramon fernandez marina, p o box 2100",san juan,,4,127,72127,72,127,00936,pr,8Ja6xUzwixSZgzjJdTanww,methodist hospital,False,1,5.0,2020-01-29T09:52:48,19529935000.0,,https://www.yelp.com/biz/methodist-hospital-minneapolis?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,box,minneapolis,mn,US,55440.0,,
8400,-0.23080703551202778,6040325,msuPnIrBozHIanGBMQ1e6A,6040325,4,,,2018,"Manati, PR",doctors center,km 47-7,manati,,4,91,72091,72,91,00674,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
8630,-1.6247925760672801,6040345,msuPnIrBozHIanGBMQ1e6A,6040345,4,,,2018,"San German, PR",hospital de la concepcion,"carr 2, km 173, bo cain alto",san german,,4,125,72125,72,125,00683-3920,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
8847,-1.0740353236469746,6040349,svEq1j9w3kbTqL7whTa6og,6040349,4,,,2018,"Ponce, PR",inspira ponce,"calle guadalupe, #184, piso2",ponce,,4,113,72113,72,113,00730,pr,svEq1j9w3kbTqL7whTa6og,namashira inspira,False,1,5.0,2020-06-20T22:52:15,18328120117.0,,https://www.yelp.com/biz/namashira-inspira-artesia?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,artesia,ca,US,90701.0,,
9089,-0.7438865739048075,6040369,AwIgR4w4iPBv4HEHIlbYLg,6040369,4,,,2018,"Cabo Rojo, PR",hospital psiquiatrico metropolitano,108 munoz rivera street,cabo rojo,,4,23,72023,72,23,00623-4060,pr,AwIgR4w4iPBv4HEHIlbYLg,smile direct club,False,3,5.0,2020-06-24T19:24:21,17873379947.0,https://smiledirectclub.com,https://www.yelp.com/biz/smile-direct-club-san-juan?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,25 avenida luis munoz rivera,san juan,pr,US,901.0,,
9308,-1.009033871532842,6040370,cCnsMm_ZKp9xiuB2YbyjqQ,6040370,4,07/01/2017,06/30/2018,2018,"San Juan, PR",ashford presbyterian community hospital,1451 avenue ashford,san juan,,4,127,72127,72,127,00907-1511,pr,cCnsMm_ZKp9xiuB2YbyjqQ,ashford chiropractic center,False,5,5.0,2020-06-19T16:50:57,12818701233.0,http://www.ashfordchiro.com,https://www.yelp.com/biz/ashford-chiropractic-center-houston?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1880 s dairy ashford st ste 105,houston,tx,US,77077.0,,
9571,-1.0348783784676523,6040374,msuPnIrBozHIanGBMQ1e6A,6040374,4,,,2018,"Guaynabo, PR",professional hospital guaynabo,carretera 199 km 1.2 avenue,guaynabo,,4,61,72061,72,61,00969,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
9818,-0.851533133570903,6040377,i_X0DuFiWtrJvUN6B6H6yQ,6040377,4,,,2018,"San Juan, PR",san juan city hospital,puerto rico medical center,san juan,,4,127,72127,72,127,00928,pr,i_X0DuFiWtrJvUN6B6H6yQ,món sports quiromassage,False,1,4.0,2018-04-23T10:14:15,17876358600.0,http://www.quiro-masaje.com,https://www.yelp.com/biz/m%C3%B3n-sports-quiromassage-guaynabo?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,#48 165 rd 48 puerto rico,guaynabo,pr,US,968.0,,
10058,-1.2254680715981354,6040382,YYoo8ozDS-9eBOnqKEkBog,6040382,4,,,2018,"Utuado, PR",metropolitano de la montana,calle issac gonzalez martinez,utuado,,4,141,72141,72,141,00641,pr,YYoo8ozDS-9eBOnqKEkBog,vista de la montana,False,4,4.0,2020-06-29T16:12:02,16237458696.0,http://www.holidaytouch.com,https://www.yelp.com/biz/vista-de-la-montana-surprise-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,18510 n parkview pl,surprise,az,US,85374.0,,
10303,-0.9434079855053702,6040391,8Ja6xUzwixSZgzjJdTanww,6040391,4,,,2018,"Caguas, PR",hospital menonita de caguas,p.o. box 6660,caguas,,4,25,72025,72,25,00726-6660,pr,8Ja6xUzwixSZgzjJdTanww,methodist hospital,False,1,5.0,2020-01-29T09:52:48,19529935000.0,,https://www.yelp.com/biz/methodist-hospital-minneapolis?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,box,minneapolis,mn,US,55440.0,,
10529,-0.9031461057074821,6040395,agl7t8cDLqpauTtFZnUbDQ,6040395,4,,,2018,"San Juan, PR",hospital san gerardo,138 avenue winston churchill,san juan,,4,127,72127,72,127,00926-6013,pr,agl7t8cDLqpauTtFZnUbDQ,lakeview hospital,False,7,2.5,2019-11-21T11:56:18,16514395330.0,,https://www.yelp.com/biz/lakeview-hospital-stillwater?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,927 churchill st w,stillwater,mn,US,55082.0,,
10763,-1.2150373918837574,6040396,VrYKvvZ7Ko9a9XJ2OrBing,6040396,4,,,2018,"Mayaguez, PR",hospital san antonio,calle dr ramon emeterio betances n #18,mayaguez,,4,97,72097,72,97,00680,pr,VrYKvvZ7Ko9a9XJ2OrBing,san antonio regional hospital,False,486,2.5,2020-06-23T17:39:23,19099852811.0,http://www.sarh.org,https://www.yelp.com/biz/san-antonio-regional-hospital-upland?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,999 san bernardino rd,upland,ca,US,91786.0,,
10991,-0.8378363967221042,6040397,msuPnIrBozHIanGBMQ1e6A,6040397,4,,,2018,"Ponce, PR",hospital de psiquiatria forense,road 14,ponce,,4,113,72113,72,113,00731,pr,msuPnIrBozHIanGBMQ1e6A,doctors center hospital bayamon,False,2,1.0,2020-03-27T18:27:46,17876225420.0,,https://www.yelp.com/biz/doctors-center-hospital-bayamon-bayamon-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,bayamon,pr,US,959.0,,
